Room Type,Guests,Price,Rating,Check-in Date,Report Date,HWV Property,Competitor
Basic Queen Room,2,85,8.4,2025-01-04,01-03-2025,Estes Property,Blue Door Inn
Basic Queen Room,2,88,8.4,2025-01-04,01-03-2025,Estes Property,Blue Door Inn
Queen Room with One Queen Bed,2,79,8.4,2025-01-04,01-03-2025,Estes Property,Blue Door Inn
Queen Room with One Queen Bed,2,81,8.4,2025-01-04,01-03-2025,Estes Property,Blue Door Inn
King Room with Mountain View,2,91,8.4,2025-01-04,01-03-2025,Estes Property,Blue Door Inn
King Room with Mountain View,2,94,8.4,2025-01-04,01-03-2025,Estes Property,Blue Door Inn
King Room - Non-Smoking,2,87,8.4,2025-01-04,01-03-2025,Estes Property,Blue Door Inn
King Room - Non-Smoking,2,90,8.4,2025-01-04,01-03-2025,Estes Property,Blue Door Inn
One-Bedroom Queen Suite,2,109,8.4,2025-01-04,01-03-2025,Estes Property,Blue Door Inn
One-Bedroom Queen Suite,2,113,8.4,2025-01-04,01-03-2025,Estes Property,Blue Door Inn
Queen Room with Two Queen Beds - Non-Smoking,4,103,8.4,2025-01-04,01-03-2025,Estes Property,Blue Door Inn
Queen Room with Two Queen Beds - Non-Smoking,4,106,8.4,2025-01-04,01-03-2025,Estes Property,Blue Door Inn
Double Room with Two Double Beds - Non-Smoking,4,97,8.4,2025-01-04,01-03-2025,Estes Property,Blue Door Inn
Double Room with Two Double Beds - Non-Smoking,4,100,8.4,2025-01-04,01-03-2025,Estes Property,Blue Door Inn
Deluxe Queen Room with Two Queen Beds,4,109,8.4,2025-01-04,01-03-2025,Estes Property,Blue Door Inn
Deluxe Queen Room with Two Queen Beds,4,113,8.4,2025-01-04,01-03-2025,Estes Property,Blue Door Inn
Basic Queen Room,2,69,8.4,2025-01-05,01-03-2025,Estes Property,Blue Door Inn
Basic Queen Room,2,71,8.4,2025-01-05,01-03-2025,Estes Property,Blue Door Inn
King Room - Non-Smoking,2,73,8.4,2025-01-05,01-03-2025,Estes Property,Blue Door Inn
King Room - Non-Smoking,2,75,8.4,2025-01-05,01-03-2025,Estes Property,Blue Door Inn
Queen Room with One Queen Bed,2,67,8.4,2025-01-05,01-03-2025,Estes Property,Blue Door Inn
Queen Room with One Queen Bed,2,69,8.4,2025-01-05,01-03-2025,Estes Property,Blue Door Inn
King Room with Mountain View,2,79,8.4,2025-01-05,01-03-2025,Estes Property,Blue Door Inn
King Room with Mountain View,2,81,8.4,2025-01-05,01-03-2025,Estes Property,Blue Door Inn
One-Bedroom Queen Suite,2,97,8.4,2025-01-05,01-03-2025,Estes Property,Blue Door Inn
One-Bedroom Queen Suite,2,100,8.4,2025-01-05,01-03-2025,Estes Property,Blue Door Inn
Single King Studio with Jacuzzi Tub and Sofa,2,121,8.4,2025-01-05,01-03-2025,Estes Property,Blue Door Inn
Single King Studio with Jacuzzi Tub and Sofa,2,125,8.4,2025-01-05,01-03-2025,Estes Property,Blue Door Inn
Double Room with Two Double Beds - Non-Smoking,4,85,8.4,2025-01-05,01-03-2025,Estes Property,Blue Door Inn
Double Room with Two Double Beds - Non-Smoking,4,88,8.4,2025-01-05,01-03-2025,Estes Property,Blue Door Inn
Queen Room with Two Queen Beds - Non-Smoking,4,91,8.4,2025-01-05,01-03-2025,Estes Property,Blue Door Inn
Queen Room with Two Queen Beds - Non-Smoking,4,94,8.4,2025-01-05,01-03-2025,Estes Property,Blue Door Inn
Deluxe Queen Room with Two Queen Beds,4,97,8.4,2025-01-05,01-03-2025,Estes Property,Blue Door Inn
Deluxe Queen Room with Two Queen Beds,4,100,8.4,2025-01-05,01-03-2025,Estes Property,Blue Door Inn
Queen Room with Two Queen Beds with Balcony,4,103,8.4,2025-01-05,01-03-2025,Estes Property,Blue Door Inn
Queen Room with Two Queen Beds with Balcony,4,106,8.4,2025-01-05,01-03-2025,Estes Property,Blue Door Inn
Basic Queen Room,2,69,8.4,2025-01-06,01-03-2025,Estes Property,Blue Door Inn
Basic Queen Room,2,71,8.4,2025-01-06,01-03-2025,Estes Property,Blue Door Inn
King Room - Non-Smoking,2,73,8.4,2025-01-06,01-03-2025,Estes Property,Blue Door Inn
King Room - Non-Smoking,2,75,8.4,2025-01-06,01-03-2025,Estes Property,Blue Door Inn
Queen Room with One Queen Bed,2,67,8.4,2025-01-06,01-03-2025,Estes Property,Blue Door Inn
Queen Room with One Queen Bed,2,69,8.4,2025-01-06,01-03-2025,Estes Property,Blue Door Inn
King Room with Mountain View,2,79,8.4,2025-01-06,01-03-2025,Estes Property,Blue Door Inn
